CTO,Distância do POP (m)
CTO0101,1202.3420469634218
CTO0201,1492.406232786319
CTO0301,1865.595428820503
CTO0401,1979.4679860754509
CTO0501,2244.909571690737
CTO0601,956.8372539696219
CTO0701,1283.2241822588471
CTO0801,1499.6925438363214
CTO0102,715.475967758689
CTO0202,881.5584473849535
CTO0302,1011.0298238331459
CTO0402,1189.7691915534847
CTO0502,773.7904078902745
CTO0602,1040.0892610435494
CTO0702,1208.9144626199552
CTO0802,1407.9867221913194
CTO0103,438.3542502353988
CTO0203,575.9859486779881
CTO0303,702.6949444589485
CTO0403,848.13914038815
CTO0503,1000.3440873870657
CTO0603,1124.3474687557275
CTO0703,503.34944575721715
CTO0803,698.1438987329767
CTO0104,250.33895609595584
CTO0204,505.05886804049385
CTO0304,732.969096256181
CTO0404,963.7778863710446
CTO0504,1164.3871932678649
CTO0604,578.6496712887065
CTO0704,766.634453323685
CTO0804,912.9577001292786
CTO0105,128.1757468335927
CTO0205,228.18326798939768
CTO0305,303.7243049421641
CTO0405,389.99908624453394
CTO0505,585.8762163062593
CTO0605,729.1479786425498
CTO0705,828.8603263209352
CTO0805,962.720895218975
CTO0106,255.5633312667378
CTO0206,483.3630713041982
CTO0306,731.2346268607429
CTO0406,954.5551956048052
CTO0506,323.94706143514543
CTO0606,513.0333571145588
CTO0706,707.3617959460652
CTO0806,849.441588151067
CTO0107,249.3748120581638
CTO0207,462.3761748958534
CTO0407,644.89197326419
CTO0507,789.5216568630391
CTO0607,873.5033351108888
CTO0107,249.3748120581638
CTO0207,462.3761748958534
CTO0307,628.2063067448256
CTO0707,792.2904165481211
CTO0807,935.3240729237054
CTO0508,659.0101661199928
CTO0608,799.7295215999587
CTO0708,977.4746738809747
CTO0808,1205.2795746974787
CTO0108,589.1444960218698
CTO0208,793.6883084773666
CTO0308,933.3159570562843
CTO0408,1145.3496517880262
CTO0109,760.5745653823706
CTO0209,923.2594821819778
CTO0309,1151.2299133910637
CTO0409,1318.6824238577371
CTO0509,626.1068149693679
CTO0609,803.4326287802133
CTO0709,1012.4380111450375
CTO0809,1199.6117175051427
CTO0110,1075.757891634974
CTO0210,1227.7873044494997
CTO0310,1489.704539883814
CTO0410,1689.75824194995
CTO0510,1012.7628980144794
CTO0610,1212.5928774873455
CTO0710,1368.3768402806577
CTO0810,1529.684538134058
