Usuário CTO que atende,CEO associado,Distância (m),Perda Splitters (dB),Perda conector (dB),Perda distância (dB),Perda CEO (dB),Ganho OLT (dB),Perda Total (dB),Potência OLT (dBm),Potência Recebida (dBm)
CTO0101,CEO01,1202.34,-28.3,-0.0,-0.4208,-0.4,4,-25.1208,4.5,-20.6208
CTO0201,CEO01,1492.41,-29.0,-0.2,-0.5223,-0.4,4,-25.9223,4.5,-21.4223
CTO0301,CEO01,1865.6,-29.7,-0.4,-0.653,-0.4,4,-26.753,4.5,-22.253
CTO0401,CEO01,1979.47,-19.9,-0.6,-0.6928,-0.4,4,-16.9928,4.5,-12.4928
CTO0501,CEO01,2244.91,-27.9,-0.8,-0.7857,-0.4,4,-25.0857,4.5,-20.5857
CTO0601,CEO01,956.84,-32.4,-0.0,-0.3349,-0.4,4,-29.1349,4.5,-24.6349
CTO0701,CEO01,1283.22,-33.0,-0.2,-0.4491,-0.4,4,-29.8491,4.5,-25.3491
CTO0801,CEO01,1499.69,-33.6,-0.4,-0.5249,-0.4,4,-30.5249,4.5,-26.0249
CTO0102,CEO02,715.48,-28.3,-0.0,-0.2504,-0.4,4,-24.9504,4.5,-20.4504
CTO0202,CEO02,881.56,-29.0,-0.2,-0.3085,-0.4,4,-25.7085,4.5,-21.2085
CTO0302,CEO02,1011.03,-19.4,-0.4,-0.3539,-0.4,4,-16.1539,4.5,-11.6539
CTO0402,CEO02,1189.77,-27.4,-0.6,-0.4164,-0.4,4,-24.2164,4.5,-19.7164
CTO0502,CEO02,773.79,-28.3,-0.0,-0.2708,-0.4,4,-24.9708,4.5,-20.4708
CTO0602,CEO02,1040.09,-29.0,-0.2,-0.364,-0.4,4,-25.764,4.5,-21.264
CTO0702,CEO02,1208.91,-19.4,-0.4,-0.4231,-0.4,4,-16.2231,4.5,-11.7231
CTO0802,CEO02,1407.99,-27.4,-0.6,-0.4928,-0.4,4,-24.2928,4.5,-19.7928
CTO0103,CEO03,438.35,-28.3,-0.0,-0.1534,-0.4,4,-24.8534,4.5,-20.3534
CTO0203,CEO03,575.99,-29.0,-0.2,-0.2016,-0.4,4,-25.6016,4.5,-21.1016
CTO0303,CEO03,702.69,-29.7,-0.4,-0.2459,-0.4,4,-26.3459,4.5,-21.8459
CTO0403,CEO03,848.14,-30.4,-0.6,-0.2968,-0.4,4,-27.0968,4.5,-22.5968
CTO0503,CEO03,1000.34,-20.4,-0.8,-0.3501,-0.4,4,-17.1501,4.5,-12.6501
CTO0603,CEO03,1124.35,-28.4,-1.0,-0.3935,-0.4,4,-25.1935,4.5,-20.6935
CTO0703,CEO03,503.35,-24.7,-0.0,-0.1762,-0.4,4,-21.2762,4.5,-16.7762
CTO0803,CEO03,698.14,-25.6,-0.2,-0.2444,-0.4,4,-22.2444,4.5,-17.7444
CTO0104,CEO04,250.34,-28.3,-0.0,-0.0876,-0.4,4,-24.7876,4.5,-20.2876
CTO0204,CEO04,505.06,-29.0,-0.2,-0.1768,-0.4,4,-25.5768,4.5,-21.0768
CTO0304,CEO04,732.97,-29.7,-0.4,-0.2565,-0.4,4,-26.3565,4.5,-21.8565
CTO0404,CEO04,963.78,-19.9,-0.6,-0.3373,-0.4,4,-16.6373,4.5,-12.1373
CTO0504,CEO04,1164.39,-27.9,-0.8,-0.4075,-0.4,4,-24.7075,4.5,-20.2075
CTO0604,CEO04,578.65,-32.4,-0.0,-0.2025,-0.4,4,-29.0025,4.5,-24.5025
CTO0704,CEO04,766.63,-33.0,-0.2,-0.2683,-0.4,4,-29.6683,4.5,-25.1683
CTO0804,CEO04,912.96,-33.6,-0.4,-0.3195,-0.4,4,-30.3195,4.5,-25.8195
CTO0105,CEO05,128.18,-28.3,-0.0,-0.0449,-0.4,4,-24.7449,4.5,-20.2449
CTO0205,CEO05,228.18,-29.0,-0.2,-0.0799,-0.4,4,-25.4799,4.5,-20.9799
CTO0305,CEO05,303.72,-29.7,-0.4,-0.1063,-0.4,4,-26.2063,4.5,-21.7063
CTO0405,CEO05,390.0,-30.4,-0.6,-0.1365,-0.4,4,-26.9365,4.5,-22.4365
CTO0505,CEO05,585.88,-31.1,-0.8,-0.2051,-0.4,4,-27.7051,4.5,-23.2051
CTO0605,CEO05,729.15,-31.8,-1.0,-0.2552,-0.4,4,-28.4552,4.5,-23.9552
CTO0705,CEO05,828.86,-21.4,-1.2,-0.2901,-0.4,4,-18.0901,4.5,-13.5901
CTO0805,CEO05,962.72,-29.4,-1.4,-0.337,-0.4,4,-26.137,4.5,-21.637
CTO0106,CEO06,255.56,-28.3,-0.0,-0.0894,-0.4,4,-24.7894,4.5,-20.2894
CTO0206,CEO06,483.36,-29.0,-0.2,-0.1692,-0.4,4,-25.5692,4.5,-21.0692
CTO0306,CEO06,731.23,-19.4,-0.4,-0.2559,-0.4,4,-16.0559,4.5,-11.5559
CTO0406,CEO06,954.56,-27.4,-0.6,-0.3341,-0.4,4,-24.1341,4.5,-19.6341
CTO0506,CEO06,323.95,-28.3,-0.0,-0.1134,-0.4,4,-24.8134,4.5,-20.3134
CTO0606,CEO06,513.03,-29.0,-0.2,-0.1796,-0.4,4,-25.5796,4.5,-21.0796
CTO0706,CEO06,707.36,-19.4,-0.4,-0.2476,-0.4,4,-16.0476,4.5,-11.5476
CTO0806,CEO06,849.44,-27.4,-0.6,-0.2973,-0.4,4,-24.0973,4.5,-19.5973
CTO0107,CEO07,249.37,-28.3,-0.0,-0.0873,-0.4,4,-24.7873,4.5,-20.2873
CTO0207,CEO07,462.38,-29.0,-0.2,-0.1618,-0.4,4,-25.5618,4.5,-21.0618
CTO0407,CEO07,644.89,-29.7,-0.4,-0.2257,-0.4,4,-26.3257,4.5,-21.8257
CTO0507,CEO07,789.52,-19.9,-0.6,-0.2763,-0.4,4,-16.5763,4.5,-12.0763
CTO0607,CEO07,873.5,-27.9,-0.8,-0.3057,-0.4,4,-24.6057,4.5,-20.1057
CTO0807,CEO07,935.32,-32.4,-0.0,-0.3274,-0.4,4,-29.1274,4.5,-24.6274
CTO0707,CEO07,792.29,-33.0,-0.2,-0.2773,-0.4,4,-29.6773,4.5,-25.1773
CTO0307,CEO07,628.21,-33.6,-0.4,-0.2199,-0.4,4,-30.2199,4.5,-25.7199
CTO0508,CEO08,659.01,-28.3,-0.0,-0.2307,-0.4,4,-24.9307,4.5,-20.4307
CTO0608,CEO08,799.73,-29.0,-0.2,-0.2799,-0.4,4,-25.6799,4.5,-21.1799
CTO0708,CEO08,977.47,-19.4,-0.4,-0.3421,-0.4,4,-16.1421,4.5,-11.6421
CTO0808,CEO08,1205.28,-27.4,-0.6,-0.4218,-0.4,4,-24.2218,4.5,-19.7218
CTO0108,CEO08,589.14,-28.3,-0.0,-0.2062,-0.4,4,-24.9062,4.5,-20.4062
CTO0208,CEO08,793.69,-29.0,-0.2,-0.2778,-0.4,4,-25.6778,4.5,-21.1778
CTO0308,CEO08,933.32,-19.4,-0.4,-0.3267,-0.4,4,-16.1267,4.5,-11.6267
CTO0408,CEO08,1145.35,-27.4,-0.6,-0.4009,-0.4,4,-24.2009,4.5,-19.7009
CTO0109,CEO09,760.57,-28.3,-0.0,-0.2662,-0.4,4,-24.9662,4.5,-20.4662
CTO0209,CEO09,923.26,-29.0,-0.2,-0.3231,-0.4,4,-25.7231,4.5,-21.2231
CTO0309,CEO09,1151.23,-19.4,-0.4,-0.4029,-0.4,4,-16.2029,4.5,-11.7029
CTO0409,CEO09,1318.68,-27.4,-0.6,-0.4615,-0.4,4,-24.2615,4.5,-19.7615
CTO0509,CEO09,626.11,-28.3,-0.0,-0.2191,-0.4,4,-24.9191,4.5,-20.4191
CTO0609,CEO09,803.43,-29.0,-0.2,-0.2812,-0.4,4,-25.6812,4.5,-21.1812
CTO0709,CEO09,1012.44,-19.4,-0.4,-0.3544,-0.4,4,-16.1544,4.5,-11.6544
CTO0809,CEO09,1199.61,-27.4,-0.6,-0.4199,-0.4,4,-24.2199,4.5,-19.7199
CTO0110,CEO10,1075.76,-28.3,-0.0,-0.3765,-0.4,4,-25.0765,4.5,-20.5765
CTO0210,CEO10,1227.79,-29.0,-0.2,-0.4297,-0.4,4,-25.8297,4.5,-21.3297
CTO0310,CEO10,1489.7,-19.4,-0.4,-0.5214,-0.4,4,-16.3214,4.5,-11.8214
CTO0410,CEO10,1689.76,-27.4,-0.6,-0.5914,-0.4,4,-24.3914,4.5,-19.8914
CTO0510,CEO10,1012.76,-28.3,-0.0,-0.3545,-0.4,4,-25.0545,4.5,-20.5545
CTO0610,CEO10,1212.59,-29.0,-0.2,-0.4244,-0.4,4,-25.8244,4.5,-21.3244
CTO0710,CEO10,1368.38,-19.4,-0.4,-0.4789,-0.4,4,-16.2789,4.5,-11.7789
CTO0810,CEO10,1529.68,-27.4,-0.6,-0.5354,-0.4,4,-24.3354,4.5,-19.8354
